Algorithm, Data File, Time Elapsed (ms)
Bubble Sort, .\TestData\BookData\AlmostInOrder_10.table.txt, 0
Bubble Sort, .\TestData\BookData\AlmostInOrder_100.table.txt, 0
Bubble Sort, .\TestData\BookData\AlmostInOrder_1000.table.txt, 28
Bubble Sort, .\TestData\BookData\AlmostInOrder_10000.table.txt, 3272
Bubble Sort, .\TestData\BookData\InOrder_10.table.txt, 0
Bubble Sort, .\TestData\BookData\InOrder_100.table.txt, 0
Bubble Sort, .\TestData\BookData\InOrder_1000.table.txt, 24
Bubble Sort, .\TestData\BookData\InOrder_10000.table.txt, 3173
Bubble Sort, .\TestData\BookData\RandomOrder_10.table.txt, 0
Bubble Sort, .\TestData\BookData\RandomOrder_100.table.txt, 0
Bubble Sort, .\TestData\BookData\RandomOrder_1000.table.txt, 25
Bubble Sort, .\TestData\BookData\RandomOrder_10000.table.txt, 3577
Bubble Sort, .\TestData\BookData\ReverseOrder_10.table.txt, 0
Bubble Sort, .\TestData\BookData\ReverseOrder_100.table.txt, 0
Bubble Sort, .\TestData\BookData\ReverseOrder_1000.table.txt, 23
Bubble Sort, .\TestData\BookData\ReverseOrder_10000.table.txt, 3142
Merge Sort, .\TestData\BookData\AlmostInOrder_10.table.txt, 0
Merge Sort, .\TestData\BookData\AlmostInOrder_100.table.txt, 0
Merge Sort, .\TestData\BookData\AlmostInOrder_1000.table.txt, 0
Merge Sort, .\TestData\BookData\AlmostInOrder_10000.table.txt, 7
Merge Sort, .\TestData\BookData\InOrder_10.table.txt, 0
Merge Sort, .\TestData\BookData\InOrder_100.table.txt, 0
Merge Sort, .\TestData\BookData\InOrder_1000.table.txt, 0
Merge Sort, .\TestData\BookData\InOrder_10000.table.txt, 3
Merge Sort, .\TestData\BookData\RandomOrder_10.table.txt, 0
Merge Sort, .\TestData\BookData\RandomOrder_100.table.txt, 0
Merge Sort, .\TestData\BookData\RandomOrder_1000.table.txt, 0
Merge Sort, .\TestData\BookData\RandomOrder_10000.table.txt, 4
Merge Sort, .\TestData\BookData\ReverseOrder_10.table.txt, 0
Merge Sort, .\TestData\BookData\ReverseOrder_100.table.txt, 0
Merge Sort, .\TestData\BookData\ReverseOrder_1000.table.txt, 0
Merge Sort, .\TestData\BookData\ReverseOrder_10000.table.txt, 4
